"cz","Name","Density_of_Jobs_in_2013"
"cz19400","New York, NY",2595
"cz24300","Chicago, IL",911.2
"cz19600","Newark, NJ & NY",844.3
"cz34701","Honolulu, HI",718.2
"cz37800","San Francisco, CA",621.2
"cz20500","Boston, MA",605.8
"cz11302","Baltimore, MD",599.8
"cz11304","Washington DC, DC & MD & VA",569.9
"cz19700","Philadelphia, NJ & PA",531.9
"cz6700","Tampa, FL",526.3
"cz7000","Miami, FL",524.6
"cz19500","Toms River, NJ",497.6
"cz20401","Providence, MA & RI",483.2
"cz9100","Atlanta, GA",440.1
"cz33100","Dallas, TX",404.3
"cz19800","Wilmington, DE & MD",397.4
"cz15200","Cleveland, OH",387.9
"cz20901","Bridgeport, CT",354.7
"cz32000","Houston, TX",354.5
"cz38000","San Diego, CA",338.1
"cz11600","Detroit, MI",330.6
"cz19000","Allentown, PA",312.4
"cz21501","Minneapolis, MN & WI",309.4
"cz24100","Milwaukee, WI",294.1
"cz7400","Orlando, FL",278.8
"cz12701","Cincinnati, KY & OH",244.7
"cz14200","Indianapolis, IN",223.5
"cz2000","Virginia Beach, NC & VA",218.4
"cz15900","Columbus, OH",210.4
"cz38300","Los Angeles, AZ & CA",209.6
"cz19100","Reading, PA",197.4
"cz37500","San Jose, CA",196.2
"cz900","Charlotte, NC & SC",194.6
"cz24701","St. Louis, IL & MO",194.1
"cz7300","Palm Bay, FL",192.8
"cz33000","Fort Worth, TX",190.7
"cz16300","Pittsburgh, PA",179.1
"cz1701","Raleigh, NC",177.9
"cz38801","Portland, OR & WA",176.1
"cz39400","Seattle, WA",174.7
"cz18000","Buffalo, NY",173.7
"cz20800","Springfield, MA",172.5
"cz5600","Nashville, TN",170.2
"cz28900","Denver, CO",168.9
"cz13101","Louisville, IN & KY",164.1
"cz14900","Gary, IN",163.6
"cz15100","Lorain, OH",163
"cz24000","Kenosha, WI",160.1
"cz7200","Cape Coral, FL",151.6
"cz31201","Austin, TX",150.6
"cz7600","Jacksonville, FL & GA",149.1
"cz19200","Harrisburg, PA",148.6
"cz13501","Toledo, MI & OH",146.6
"cz29502","Kansas City, KS & MO",145.8
"cz7100","Port St. Lucie, FL",144.4
"cz3300","New Orleans, LA",144.1
"cz6900","Sarasota, FL",144
"cz2500","Newport News, VA",138.1
"cz5202","Memphis, MS & TN",137.7
"cz2400","Richmond, VA",137
"cz20402","Nantucket, MA",135.9
"cz20600","Manchester, ME & NH",131.5
"cz11700","Lansing, MI",130.4
"cz12501","Dayton, OH",130.1
"cz37400","Sacramento, CA & NV",126.3
"cz401","Winston-Salem, NC",125.7
"cz16400","Youngstown, OH & PA",124.2
"cz7500","Deltona, FL",121.8
"cz12200","Grand Rapids, MI",121.3
"cz500","Greensboro, NC & VA",121.2
"cz11301","Fredericksburg, VA",115.6
"cz800","Gastonia, NC",115
"cz302","Knoxville, TN",114.2
"cz19300","Poughkeepsie, NY",113.1
"cz1100","Hickory, NC",112.3
"cz31600","Brownsville, TX",111.4
"cz10700","Birmingham, AL",110.4
"cz31301","San Antonio, TX",107.2
"cz9301","Winder, GA",101.1
"cz35001","Phoenix, AZ",100.2
"cz12901","Lexington-Fayette, KY",100
"cz18800","Scranton, PA",99.39
"cz6401","Chattanooga, GA & TN",98.82
"cz13600","South Bend, IN & MI",97.24
"cz28202","Omaha, IA & NE",97.16
"cz8300","Greenville, SC",96.2
"cz12100","Kalamazoo, MI",95.93
"cz17400","Hagerstown, MD & PA & WV",95.79
"cz33803","Oklahoma City, OK",95.45
"cz15000","Canton, OH",93.42
"cz8202","Charleston, SC",92.74
"cz9400","Gainesville, GA",92.27
"cz18600","Albany, NY",92.24
"cz8800","Savannah, GA & SC",90.38
"cz1203","Asheville, NC",88.15
"cz3500","Baton Rouge, LA",88.11
"cz22400","Sheboygan, WI",87.81
"cz6000","Huntsville, AL & TN",86.91
"cz6800","Lakeland, FL",86.5
"cz19901","Dover, DE & MD",86.19
"cz14100","Fort Wayne, IN",85.48
"cz10900","Pensacola, FL",85.13
"cz15500","Steubenville, OH & WV",84.72
"cz700","Spartanburg, NC & SC",84.41
"cz27501","Des Moines, IA",84.18
"cz20403","Oak Bluffs, MA",82.77
"cz23100","Madison, WI",82.16
"cz8100","Columbia, SC",80.78
"cz22500","Oshkosh, WI",79.6
"cz17700","Syracuse, NY",78.17
"cz13700","Concord, IN & MI",76.4
"cz7800","Ocala, FL",75.91
"cz14000","Muncie, IN",73.87
"cz22601","Green Bay, WI",73.47
"cz23801","Davenport, IA & IL",71.98
"cz4200","Little Rock, AR",71.59
"cz36100","Salt Lake City, UT",70.66
"cz18700","Sunbury, PA",69.81
"cz1600","Wilson, NC",67.3
"cz34703","Kahului, HI",65.21
"cz100","Johnson City, TN & VA",64.64
"cz24400","Rockford, IL",64.5
"cz200","Morristown, TN",64.44
"cz1400","Fayetteville, NC",63.76
"cz16600","Roanoke, VA & WV",63.7
"cz6600","Rome, AL & GA",63.12
"cz17900","Union, NY & PA",62.86
"cz11500","Jackson, MI",62.79
"cz16000","Mansfield, OH",62.46
"cz28401","Colorado Springs, CO",62.26
"cz30300","Fayetteville, AR & MO & OK",61.09
"cz1900","Jacksonville, NC",61.08
"cz30402","Tulsa, OK",59.34
"cz14700","Evansville, IL & IN",58.57
"cz21400","St. Cloud, MN",58.23
"cz8900","Macon, GA",58.06
"cz17502","Winchester, VA & WV",57.69
"cz8401","Aiken, GA & SC",57.33
"cz16702","Morgantown, WV",57.17
"cz28101","Lincoln, NE",56.88
"cz22200","Cedar Rapids, IA",56.41
"cz32900","Killeen, TX",56.06
"cz13400","Lima, OH",55.74
"cz38200","Santa Barbara, CA",54.78
"cz2300","Lynchburg, VA",54.76
"cz20200","Burlington, VT",54.48
"cz1500","Wilmington, NC",54.12
"cz14300","Columbus, IN",53.77
"cz9200","Griffin, GA",53.56
"cz31900","Pearland, TX",53.54
"cz9600","LaGrange, AL & GA",53.48
"cz24900","Edwardsville, IL",52.82
